side,diameter,seed,GCN_all,Heat_all,QW_all,GCN_far,Heat_far,QW_far,GCN_params,Heat_params,QW_params
6,6,0,0.40190592961772664,0.14117627917488842,0.07595490042215612,0.5769222734393779,0.1977696292169965,0.11127480485368488,3265,3268,3268
6,6,1,0.38104160387732366,0.36702763064925414,0.08328336411113758,0.5004906623968683,0.6291265465517342,0.12341614436224826,3265,3268,3268
6,6,2,0.4064946939689192,0.18019669632119392,0.09978937975711566,0.5716522214954692,0.22512805936557592,0.16775287965070856,3265,3268,3268
10,10,0,1.147785544162463,0.4880353351136095,0.2515185194413683,1.2759646434012033,0.5630032793720424,0.2303798293246813,3265,3268,3268
10,10,1,1.082952547453669,0.5770678985491112,0.3770234778065932,1.2644394271674178,0.6840601634560012,0.3590018434661927,3265,3268,3268
10,10,2,1.0649619232479441,0.5928144406087001,0.24927811718349602,1.2563115486439114,0.6677924754983534,0.25910202795788856,3265,3268,3268
14,14,0,1.915772950351679,1.148154201719068,0.5736197316841648,2.007593483070119,1.26628724500602,0.6072309230373873,3265,3268,3268
14,14,1,1.8478039633843704,1.9707519664997932,1.0662839637560357,2.0080687852505013,1.9432821717391313,1.1892082470080978,3265,3268,3268
14,14,2,1.9948407554900465,1.26351501027686,0.713575263306067,2.010215450059449,1.4152367958702694,0.6936867641851423,3265,3268,3268
18,18,0,2.710266625903109,1.8842214177147139,1.0820467934628473,2.7516319029494243,1.9906379778663565,1.120307322633825,3265,3268,3268
18,18,1,2.591452481091201,2.6590410390328656,1.6985810586099943,2.729907327600923,2.6529815231536102,1.7753473201680268,3265,3268,3268
18,18,2,2.593996440460404,2.4391387706837295,1.0940599779198639,2.719201502105682,2.572060679457396,1.1640988341951564,3265,3268,3268
